,price,Stan nieruchomości,Pow. całkowita,Piętro,Liczba pięter,Typ kuchni,łazienka razem z WC,Taras,Rynek,Dostępne od,Kredyt,Typ budynku,Materiał budowlany,Rok budowy,Data dodania,Aktualizacja,Numer ogłoszenia,title,url,Liczba poziomów mieszkania,Liczba sypialni,Balkon,Rodzaj umowy,Ogrzewanie,Wysokość wnętrza,Liczba łazienek,Forma własności,Stan budynku,Pow. balkonu,Cena do negocjacji,Pow. łazienki,Pow. ogródka,Pow. tarasu,Stolarka okienna,Dodatkowe koszty,Pow. loggii,Inwestycja,Kominek,Zapotrzebowanie energetyczne,Pow. użytkowa,Typ nieruchomości,Typ domu,Dach,Urządzony ogród
408,1 360 000 zł,,"108,48 m²",3/4,4,Osobna,Tak,Tak,Wtórny,,,Blok,Suporex,2009,25.04.2023,25.04.2023,morizon-8,"Mieszkanie na sprzedaż, 108 m², Warszawa Włochy Nowe Włochy | 2631 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-chroscickiego-juliana-108m2-mzn2041992631,2,,Tak,Na wyłączność,Miejskie,270 cm,2,Własność,Bardzo dobry,10 m²,,,,21 m²,,,,,,,,,,,
409,940 668 zł,BARDZO WYSOKI STANDARD,"72,92 m²",3/4,4,ANEKS KUCHENNY,,,Wtórny,2023-04-30,,KAMIENICA,CEGŁA,1929,16.04.2023,17.04.2023,morizon-597/7447/OMS,"Mieszkanie na sprzedaż, 72 m², Warszawa Praga-Południe Grochów | 2198 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-kobielska-72m2-mzn2041952198,,,,Na wyłączność,C.O. GAZOWE,300 cm,2,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
410,800 000 zł,Dobry,"73,64 m²",1/4,4,Osobna,Nie,,Wtórny,,,Blok,Cegła,2000,12.04.2023,13.05.2023,morizon-gratka-30122449,"Mieszkanie na sprzedaż, 73 m², Warszawa Włochy | 3407 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-zapustna-73m2-mzn2041923407,,,Tak,,,,,Własność,,,,,,,,,,,,,,,,,
411,699 000 zł,Do remontu,60 m²,10/11,11,Widna i zamknięta,,Nie,Wtórny,,,Budynek wielorodzinny,Płyta,1975,23.03.2023,08.05.2023,morizon-M-103981-11,"Mieszkanie na sprzedaż, 60 m², Warszawa Mokotów | 0729 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-domaniewska-60m2-mzn2041820729,1,,,,Miejskie,260 cm,1,Spółdzielcze własnościowe,,,,"2,75 m²",,,,,6 m²,,,,,,,,
412,2 100 000 zł,,113 m²,1/5,5,Osobna,,,Wtórny,,,Kamienica,Cegła,1912,28.04.2023,28.04.2023,morizon-wyr-noak45,"Mieszkanie na sprzedaż, 113 m², Warszawa Śródmieście Śródmieście Południowe | 9390 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-noakowskiego-113m2-mzn2041999390,1,,Tak,Na wyłączność,Miejskie,400 cm,1,Własność,Bardzo dobry,,,,,,,,,,,,,,,,
413,1 410 000 zł,,67 m²,5/8,8,,Tak,,Wtórny,,,Blok,,,11.05.2023,11.05.2023,morizon-gratka-30431347,"Mieszkanie na sprzedaż, 67 m², Warszawa Wola | 5243 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-juliana-konstantego-ordona-67m2-mzn2042065243,,,Tak,,,,,,,,,,,,,,,,,,,,,,
414,624 000 zł,,"47,35 m²",1/5,5,,,,Wtórny,,,Apartamentowiec,,,08.05.2023,08.05.2023,morizon-gratka-30390799,"Mieszkanie na sprzedaż, 47 m², Warszawa Bielany | 7801 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-encyklopedyczna-47m2-mzn2042057801,,,Tak,,,,,,,,,,,,,,,,,,,,,,
415,1 795 000 zł,,85 m²,2/3,3,Otwarta,Tak,,Wtórny,,,Kamienica,Cegła,1947,12.05.2023,13.05.2023,morizon-0025,"Mieszkanie na sprzedaż, 85 m², Warszawa Żoliborz Stary Żoliborz | 7635 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-zoliborz-popieluszki-jerzego-85m2-mzn2042067635,1,,Nie,,Miejskie,300 cm,1,Własność,Bardzo dobry,,,6 m²,,,,,,,,,,,,,
416,850 000 zł,Dobry,55 m²,3/16,16,Prześwit,Tak,,Wtórny,2023-08-01,,Apartamentowiec,,2008,14.05.2023,14.05.2023,morizon-gratka-30455923,"Mieszkanie na sprzedaż, 55 m², Warszawa Wola | 8298 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-okopowa-55m2-mzn2042088298,,,,,,,,Własność,,,,,,,,,,,,,,,,,
417,475 000 zł,,"26,69 m²",9/15,15,Osobna,Tak,,Wtórny,2023-05-14,,Blok,Wielka płyta,1969,13.05.2023,13.05.2023,morizon-gratka-30452087,"Mieszkanie na sprzedaż, 26 m², Warszawa Wola | 7714 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-grzybowska-26m2-mzn2042087714,,,,,,,,Spoldzielcze-wlasnosciowe,,,,,,,,,,,,,,,,,
418,2 390 000 zł,,125 m²,3/5,5,Osobna,,,Wtórny,,,Kamienica,Cegła,1926,08.05.2023,08.05.2023,morizon-wyr-fil,"Mieszkanie na sprzedaż, 125 m², Warszawa Śródmieście Śródmieście Południowe | 6425 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-filtry-125m2-mzn2042056425,1,,Tak,Na wyłączność,Miejskie,300 cm,2,Spółdzielcze-własnościowe,,,,,,,,,,,,,,,,,
419,1 130 000 zł,Do remontu,79 m²,Parter/2,2,Aneks,Tak,Tak,Wtórny,2023-05-10,,Blok,Cegła,1995,09.05.2023,09.05.2023,morizon-gratka-30402967,"Mieszkanie na sprzedaż, 79 m², Warszawa Ursynów | 0194 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-pplk-zbigniewa-stanislawa-kiedacza-79m2-mzn2042050194,,,,,,,,Własność,,,,,,,,,,,,,,,,,
420,510 000 zł,,"52,49 m²",Parter/3,3,Osobna,Nie,,Wtórny,,,Blok,Cegła,1960,09.05.2023,12.05.2023,morizon-gratka-30395939,"Mieszkanie na sprzedaż, 52 m², Warszawa Ursus | 8578 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursus-karola-adamieckiego-52m2-mzn2042058578,,,,,,,,Spoldzielcze-wlasnosciowe,,,,,,,,,,,,,,,,,
421,799 000 zł,WYSOKI STANDARD,"53,51 m²",Parter/3,3,ANEKS KUCHENNY,,,Wtórny,,,APARTAMENTOWIEC,CEGŁA,2009,08.05.2023,14.05.2023,morizon-580/7447/OMS,"Mieszkanie na sprzedaż, 53 m², Warszawa Wilanów Błonia Wilanowskie | 6363 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wilanow-sarmacka-53m2-mzn2042056363,,,,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,280 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
422,755 000 zł,Dobry,70 m²,1/6,6,Aneks,Nie,,Wtórny,,,Blok,Pustak,2005,11.05.2023,14.05.2023,morizon-gratka-30428069,"Mieszkanie na sprzedaż, 70 m², Warszawa Ursus | 4275 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursus-wladyslawa-hermana-70m2-mzn2042064275,,,Tak,,,,,Własność,,,,,,,,,,,,,,,,,
423,749 000 zł,Wysoki standard,"61,38 m²",Parter/3,3,Osobna,Tak,,Wtórny,,,Blok,,2020,09.05.2023,11.05.2023,morizon-gratka-30404431,"Mieszkanie na sprzedaż, 61 m², Warszawa Białołęka | 0578 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bialoleka-aluzyjna-61m2-mzn2042060578,,,Tak,,,,,Własność,,,,,,,,,,,,,,,,,
424,600 000 zł,Dobry,41 m²,4/7,7,Osobna,Tak,,Wtórny,2023-05-10,,Blok,Rama H,1960,10.05.2023,15.05.2023,morizon-gratka-30416017,"Mieszkanie na sprzedaż, 41 m², Warszawa Mokotów | 2156 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-jadzwingow-41m2-mzn2042062156,,,,,,,,Własność,,,,,,,,,,,,,,,,,
425,4 999 999 zł,,140 m²,3/6,6,,,,Wtórny,Od zaraz,,,,,09.05.2023,09.05.2023,morizon-1536223565,"Mieszkanie na sprzedaż, 140 m², Warszawa Śródmieście Powiśle | 4070 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-solec-140m2-mzn2041274070,,,,,,,,,,,,,,,,,,,,,,,,,
426,2 706 000 zł,,"180,40 m²",2/5,5,,,,Wtórny,,,,,1997,15.02.2023,05.05.2023,morizon-MS330459,"Mieszkanie na sprzedaż, 180 m², Warszawa Wola Mirów | 7977 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-zelazna-180m2-mzn2041647977,,4,,,,,,,,,,,,,,,,,,,,,,,
427,540 000 zł,DO REMONTU KAPIT.,"56,80 m²",Parter/9,9,OTWARTA,,,Wtórny,,,WIEŻOWIEC,WIELKA PŁYTA,1977,28.01.2023,24.04.2023,morizon-544/7447/OMS,"Mieszkanie na sprzedaż, 56 m², Warszawa Mokotów Stegny | 6037 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-egejska-56m2-mzn2041566037,,,,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,270 cm,1,SPÓŁDZIELCZE WŁASNOŚCIOWE,,,,,,,,,,,,,,,,,
428,642 059 zł,DO WYKOŃCZENIA,"66,26 m²",3/3,3,Z OKNEM,,,Pierwotny,2024-06-30,,APARTAMENTOWIEC,MIESZANY,2023,24.01.2023,09.05.2023,morizon-4/13718/OMS,"Mieszkanie na sprzedaż, 66 m², Warszawa Bielany | 9084 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-loteryjki-66m2-mzn2041529084,,,Tak,,C.O. Z SIECI MIEJSKIEJ,265 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
429,439 869 zł,DO WYKOŃCZENIA,"43,56 m²",2/3,3,ANEKS KUCHENNY,,,Pierwotny,2024-06-30,,APARTAMENTOWIEC,MIESZANY,2023,24.01.2023,09.05.2023,morizon-5/13718/OMS,"Mieszkanie na sprzedaż, 43 m², Warszawa Bielany | 9085 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-loteryjki-43m2-mzn2041529085,,,Tak,,C.O. Z SIECI MIEJSKIEJ,265 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
430,950 000 zł,WYSOKI STANDARD,"47,20 m²",1/5,5,ANEKS KUCHENNY,,,Wtórny,,,APARTAMENTOWIEC,,2015,11.05.2023,11.05.2023,morizon-2391/858/OMS,"Mieszkanie na sprzedaż, 47 m², Warszawa Żoliborz | 4138 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-zoliborz-kaliny-jedrusik-47m2-mzn2042064138,,,Tak,,,,1,,,,,,,,,,,,,,,,,,
431,1 049 000 zł,,"81,05 m²",2/3,3,,,,Wtórny,,,Blok Mieszkalny,Konstrukcja żelbetowa,2022,11.05.2023,15.05.2023,morizon-672777,"Mieszkanie na sprzedaż, 81 m², Warszawa Białołęka Brzeziny | 4261 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bialoleka-mariana-hemara-81m2-mzn2042064261,1,3,Tak,Na wyłączność,Co Miejskie,,,,,,,,,,,,,,,,,,,,
432,650 000 zł,DOBRY,"37,10 m²",6/8,8,ANEKS KUCHENNY,,,Wtórny,,,APARTAMENTOWIEC,CEGŁA,2013,08.05.2023,15.05.2023,morizon-6713/3243/OMS,"Mieszkanie na sprzedaż, 37 m², Warszawa Ursynów | 8126 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-franciszka-marii-lanciego-37m2-mzn2042058126,,,Tak,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,270 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
433,1 000 000 zł,WYSOKI STANDARD,"64,21 m²",2/5,5,OTWARTA,,,Wtórny,,,APARTAMENTOWIEC,CEGŁA,2003,11.05.2023,12.05.2023,morizon-4497/465/OMS,"Mieszkanie na sprzedaż, 64 m², Warszawa Bielany | 5125 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-zgrupowania-ak-zmija-64m2-mzn2042065125,,,Tak,,C.O. Z SIECI MIEJSKIEJ,265 cm,1,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,,,,,,,,,,,,,,,,,
434,599 000 zł,WYSOKI STANDARD,"64,70 m²",7/8,8,ODDZIELNA,,,Wtórny,,,WIEŻOWIEC,RAMA H,1992,15.02.2023,15.05.2023,morizon-6699/3243/OMS,"Mieszkanie na sprzedaż, 64 m², Warszawa Białołęka | 6840 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bialoleka-vincenta-van-gogha-64m2-mzn2041646840,,,Tak,,C.O. Z SIECI MIEJSKIEJ,250 cm,1,SPÓŁDZIELCZE WŁASNOŚCIOWE,,,,,,,,,,,,,,,,,
435,712 080 zł,Do odświeżenia,"55,20 m²",1/3,3,Aneks kuchenny - połączony z salonem,Tak,Tak,Wtórny,,,Nowe budownictwo,Nowa cegła,1998,22.04.2023,15.05.2023,morizon-KUN-MS-8956,"Mieszkanie na sprzedaż, 55 m², Warszawa Ursynów | 8164 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-albatrosow-55m2-mzn2041988164,,1,,Na wyłączność,,,1,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,,,,,,,PCV,1102,,,,,,,,,
436,1 200 000 zł,,86 m²,1/8,8,Osobna,Nie,Tak,Wtórny,2023-04-20,,Apartamentowiec,Pustak,2008,19.04.2023,15.05.2023,morizon-229,"Mieszkanie na sprzedaż, 86 m², Warszawa Praga-Południe | 7468 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-lukowska-86m2-mzn2041957468,1,,Tak,Na wyłączność,Miejskie,261 cm,2,Własność,Bardzo dobry,"4,10 m²",Tak,"4,70 m²",,,,,"3,32 m²",,,,,,,,
437,659 000 zł,,"41,23 m²",4/4,4,,,,Wtórny,,,,,2022,11.04.2023,11.04.2023,morizon-TC834550,"Mieszkanie na sprzedaż, 41 m², Warszawa Praga-Południe Gocławek | 1579 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-roztocka-41m2-mzn2041921579,,,,Na wyłączność,,,,,,,,,,,,,,,,,,,,,
438,610 000 zł,,"50,24 m²",7/7,7,,,,Wtórny,2023-05-20,,Blok Mieszkalny,Wielka płyta,1980,11.05.2023,11.05.2023,morizon-632191,"Mieszkanie na sprzedaż, 50 m², Warszawa Bemowo | 4326 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-goluchowska-50m2-mzn2042064326,,1,,,Co Miejskie,,,,,,,,,,,,,,,,"45,57 m²",,,,
439,669 000 zł,DO REMONTU KAPIT.,"33,47 m²",4/6,6,Z OKNEM,,,Wtórny,,,KAMIENICA,CEGŁA,1959,20.02.2023,15.05.2023,morizon-496/9046/OMS,"Mieszkanie na sprzedaż, 33 m², Warszawa Śródmieście | 3542 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-natolinska-33m2-mzn2041673542,,,,Na wyłączność,,264 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
440,620 000 zł,,"59,20 m²",3/4,4,Jasna z oknem,Nie,Nie,Wtórny,,,Blok,Płyta,1975,09.03.2023,18.03.2023,morizon-MAR-MS-35820,"Mieszkanie na sprzedaż, 59 m², Warszawa Włochy Okęcie | 1517 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-1-sierpnia-59m2-mzn2041751517,1,,Tak,Na wyłączność,C.O. miejskie,270 cm,1,Spółdzielcze-własnościowe,Bardzo dobry,,Tak,,,,PCV,,,,,,,,,,
441,1 000 000 zł,DO ADAPTACJI,"138,79 m²",1/2,2,ODDZIELNA,,,Wtórny,,,BIUROWO-HANDLOWY,YTONG,1994,25.01.2022,15.05.2023,morizon-369/9046/OMS,"Mieszkanie na sprzedaż, 138 m², Warszawa Mokotów | 2954 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-bartycka-138m2-mzn2039842954,,,,Na wyłączność,,,2,SPÓŁDZIELCZE WŁASNOŚCIOWE,,,,,,,,,,,,,,,,,
442,1 880 000 zł,DOBRY,118 m²,1/5,5,ODDZIELNA,,,Wtórny,,,APARTAMENTOWIEC,,2006,12.12.2022,15.05.2023,morizon-1132/8765/OMS,"Mieszkanie na sprzedaż, 118 m², Warszawa Mokotów Sadyba | 8128 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-powsinska-118m2-mzn2041388128,,,Tak,,C.O. Z SIECI MIEJSKIEJ,,2,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
443,625 000 zł,DOBRY,"53,10 m²",Parter/4,4,ODDZIELNA,,,Wtórny,,,MIESZKALNO-BIUROWY,WIELKA PŁYTA,1974,03.03.2023,15.05.2023,morizon-497/9046/OMS,"Mieszkanie na sprzedaż, 53 m², Warszawa Mokotów | 7901 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-capri-53m2-mzn2041717901,,,,Na wyłączność,,260 cm,1,SPÓŁDZIELCZE WŁASNOŚCIOWE,,,,,,,,,,,,,,,,,
444,488 000 zł,DO REMONTU,"37,90 m²",8/10,10,OKNO NA POKÓJ,,,Wtórny,,,WIEŻOWIEC,WIELKA PŁYTA,1970,01.02.2023,15.05.2023,morizon-489/9046/OMS,"Mieszkanie na sprzedaż, 37 m², Warszawa Mokotów Służew | 5706 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-orzycka-37m2-mzn2041575706,,,,Na wyłączność,,250 cm,1,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,,,,,,,,,,,,,,,,,
445,1 510 000 zł,DOBRY,"93,15 m²",6/9,9,ODDZIELNA,,,Wtórny,,,APARTAMENTOWIEC,CEGŁA,1991,20.12.2022,15.05.2023,morizon-477/9046/OMS,"Mieszkanie na sprzedaż, 93 m², Warszawa Wola Mirów | 2159 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-twarda-93m2-mzn2041412159,,,,Na wyłączność,,247 cm,1,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,,,,,,,,,,,,,,,,,
446,1 740 000 zł,WYSOKI STANDARD,"89,43 m²",1/2,2,OTWARTA,,,Wtórny,,,NISKI BLOK,CEGŁA,2022,06.03.2023,15.05.2023,morizon-500/9046/OMS,"Mieszkanie na sprzedaż, 89 m², Warszawa Mokotów Stegny | 3151 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-eukaliptusowa-89m2-mzn2041743151,,,,Na wyłączność,,280 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
447,598 000 zł,DO REMONTU KAPIT.,"57,20 m²",4/10,10,ODDZIELNA,,,Wtórny,,,BLOK,RAMA H,1971,07.04.2023,15.05.2023,morizon-506/9046/OMS,"Mieszkanie na sprzedaż, 57 m², Warszawa Mokotów | 6480 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-czerniakowska-57m2-mzn2041896480,,,,Na wyłączność,,255 cm,1,SPÓŁDZIELCZE WŁASNOŚCIOWE,,,,,,,,,,,,,,,,,
448,650 000 zł,DO REMONTU KAPIT.,"62,40 m²",8/13,13,ODDZIELNA,,,Wtórny,,,WIEŻOWIEC,WIELKA PŁYTA,1976,27.04.2023,15.05.2023,morizon-513/9046/OMS,"Mieszkanie na sprzedaż, 62 m², Warszawa Targówek Targówek Mieszkaniowy | 6298 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-targowek-pralatowska-62m2-mzn2041996298,,,,Na wyłączność,,260 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
449,490 000 zł,,"40,50 m²",4/4,4,,,,Wtórny,,,,,1965,08.05.2023,08.05.2023,morizon-15025/4595/OMS,"Mieszkanie na sprzedaż, 40 m², Warszawa Bielany | 7848 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-podlesna-40m2-mzn2042057848,,,,,,,,,,,,,,,,,,,,,,,,,
450,420 000 zł,Do częściowego remontu,"40,57 m²",1/3,3,,,,Wtórny,,,Blok,,2010,05.05.2023,13.05.2023,morizon-LSW-MS-174,"Mieszkanie na sprzedaż, 40 m², Warszawa Białołęka Tarchomin | 4557 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bialoleka-strumykowa-40m2-mzn2041034557,,1,,Na wyłączność,,250 cm,,,,,,,,,Nowe PCV,,,,,,,,,,
451,590 000 zł,,"55,36 m²",1/4,4,,,,Wtórny,,,,,1970,27.10.2022,27.04.2023,morizon-524968,"Mieszkanie na sprzedaż, 55 m², Warszawa Mokotów | 2825 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-boleslawa-limanowskiego-55m2-mzn2041182825,1,2,Tak,Na wyłączność,,,,,,,,,,,,,,,,,,,,,
452,600 000 zł,,"49,50 m²",8/10,10,,,,Wtórny,,,Blok Mieszkalny,Wielka płyta,1970,16.03.2023,08.05.2023,morizon-519840,"Mieszkanie na sprzedaż, 49 m², Warszawa Mokotów | 6459 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-49m2-mzn2041786459,1,3,Tak,Na wyłączność,,,,,,,,,,,,,,,,,,,,,
453,1 870 000 zł,DO ADAPTACJI,"81,88 m²",6/6,6,Z OKNEM,,,Wtórny,,,KAMIENICA,CEGŁA,1952,24.11.2022,04.04.2023,morizon-570/7447/OMS,"Mieszkanie na sprzedaż, 81 m², Warszawa Śródmieście | 5256 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-plac-konstytucji-81m2-mzn2041305256,,,,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,300 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
454,650 000 zł,DO ADAPTACJI,"43,23 m²",1/6,6,Z OKNEM,,,Wtórny,,,NISKI BLOK,CEGŁA,1959,10.03.2023,08.05.2023,morizon-4369/4790/OMS,"Mieszkanie na sprzedaż, 43 m², Warszawa Śródmieście | 3492 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-jozefa-lewartowskiego-43m2-mzn2041753492,,,Tak,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
455,860 000 zł,BARDZO WYSOKI STANDARD,"32,03 m²",1/6,6,OTWARTA,,,Pierwotny,,,APARTAMENTOWIEC,YTONG,2021,06.02.2023,02.05.2023,morizon-555/7447/OMS,"Mieszkanie na sprzedaż, 32 m², Warszawa Śródmieście Powiśle | 0203 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-gornoslaska-32m2-mzn2041600203,,,,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,290 cm,1,INNA,,,,,,,,,,,,,,,,,
456,660 000 zł,DO REMONTU,44 m²,,,ODDZIELNA,,,Wtórny,,,APARTAMENTOWIEC,,2015,10.05.2023,14.05.2023,morizon-609/7447/OMS,"Mieszkanie na sprzedaż, 44 m², Warszawa Wola Odolany | 1894 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-jana-kazimierza-44m2-mzn2042061894,,,Tak,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,275 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
457,940 000 zł,,"41,75 m²",3/3,3,Aneks,Tak,Nie,Wtórny,,,Apartamentowiec,"Beton, cegła",2023,15.01.2023,09.05.2023,morizon-MAR-MS-35797,"Mieszkanie na sprzedaż, 41 m², Warszawa Mokotów Górny Mokotów | 6001 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-kazimierzowska-41m2-mzn2041496001,1,,Nie,,Miejskie,,1,Ekspektatywa,Bardzo dobry,,Tak,,,,Drewniane,,,,,,,,,,
458,660 000 zł,,44 m²,2/2,2,,,,Wtórny,,,Kamienica,Cegła,1951,14.03.2023,10.05.2023,morizon-764982,"Mieszkanie na sprzedaż, 44 m², Warszawa Mokotów | 2607 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-balladyny-44m2-mzn2041782607,,1,,Na wyłączność,Co Miejskie,,,,,,,,,,,,,,,,,,,,
459,1 730 000 zł,WYSOKI STANDARD,"78,39 m²",3/6,6,Z OKNEM,,,Wtórny,,,APARTAMENTOWIEC,,2013,08.05.2023,14.05.2023,morizon-593/7447/OMS,"Mieszkanie na sprzedaż, 78 m², Warszawa Żoliborz Sady Żoliborskie | 6849 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-zoliborz-ludwika-rydygiera-78m2-mzn2042056849,,,,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
460,499 000 zł,,"37,20 m²",Parter/13,13,,,,Wtórny,,,,,1968,28.01.2023,09.05.2023,morizon-TC560688,"Mieszkanie na sprzedaż, 37 m², Warszawa Ochota Rakowiec | 6200 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ochota-moldawska-37m2-mzn2041546200,,1,,Na wyłączność,,,,,,,,,,,,,,,,,,,,,
461,2 300 000 zł,BARDZO WYSOKI STANDARD,"82,82 m²",1/4,4,ANEKS KUCHENNY,,,Wtórny,,,APARTAMENTOWIEC,,2020,05.05.2023,14.05.2023,morizon-566/7447/OMS,"Mieszkanie na sprzedaż, 82 m², Warszawa Śródmieście Ujazdów | 4938 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-29-listopada-82m2-mzn2041034938,,,,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,,2,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
