	url	title	description	price	District	m2	Data dodania	Na sprzedaż przez	Rodzaj nieruchomości	Liczba pokoi	Liczba łazienek
42	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/2-pokoje-tuz-obok-centrum/10010659330921012115990009	2 pokoje tuż obok centrum 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28620</i><br/><br/><br/>	599000.0	Wola	44	06/03/2022	Agencja	Mieszkanie	2 pokoje	
43	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/2-lub-3-pokoje-tuz-obok-centrunm/10010659358441012115990009	2 lub 3 pokoje tuz obok centrunm 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28612</i><br/><br/><br/>	689000.0	Wola	50	06/03/2022	Agencja	Mieszkanie	3 pokoje	
44	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/srodmiescie/apartament-na-grzybowskiej/10010659368251012115990009	Apartament na grzybowskiej 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28608</i><br/><br/><br/>	1216000.0	Śródmieście	62	06/03/2022	Agencja	Mieszkanie	3 pokoje	
45	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/srodmiescie/apartament-3-pok-budynek-premium/10010659368261012115990009	Apartament 3 pok. budynek Premium 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28606</i><br/><br/><br/>	950000.0	Śródmieście	62	06/03/2022	Agencja	Mieszkanie	3 pokoje	
46	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/2-lub-3-pokoje-tuz-obok-centrunm/10010659361311012115990009	2 lub 3 pokoje tuz obok centrunm 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28596</i><br/><br/><br/>	689000.0	Wola	50	06/03/2022	Agencja	Mieszkanie	3 pokoje	
47	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/mieszkaj-na-swoim-blisko-centrum-metro/10010659358471012115990009	Mieszkaj na SWOIM Blisko Centrum , METRO 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28592</i><br/><br/><br/>	579000.0	Wola	43	06/03/2022	Agencja	Mieszkanie	2 pokoje	
48	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/srodmiescie/apartament-premium-doskonala-relacja-ceny/10010659330941012115990009	Apartament premium. doskonała relacja ceny 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28587</i><br/><br/><br/>	1400000.0	Śródmieście	100	06/03/2022	Agencja	Mieszkanie	4 pokoje	
49	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/klucze-do-odbioru-klima-recepcja-widok-na-centrum/10010659361321012115990009	KLUCZE do ODBIORU ! klima recepcja widok na Centrum 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28584</i><br/><br/><br/>	325000.0	Wola	21	06/03/2022	Agencja	Mieszkanie	Kawalerka lub garsoniera	
50	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/ustawne-2-pokoje-%252B-gadreroba-nowe-osiedle-0/10010659361331012115990009	Ustawne 2 pokoje + gadreroba nowe osiedle 0% 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28579</i><br/><br/><br/>	600000.0	Wola	47	06/03/2022	Agencja	Mieszkanie	2 pokoje	
51	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/apartament-na-18-pietrze-19-m-taras/10010659361341012115990009	Apartament na 18 pietrze 19 m taras ! 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28578</i><br/><br/><br/>	1290000.0	Wola	93	06/03/2022	Agencja	Mieszkanie	4 pokoje	
